번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
241,나물/숙채류,취나물,50,74,3.3,1.35,6.15,0,281.86,0,0.85,0.05
242,나물/숙채류,콩나물,50,25.5,0.95,1.7,1.65,0,213.95,0,0.2,0
243,생채/무침류,골뱅이무침,100,108.79,15.69,7.08,1.97,10.46,525.52,38.35,0.26,0.02
244,생채/무침류,김무침,30,85.62,10.56,2.72,3.61,3.84,491.99,0.04,0.63,0.08
245,생채/무침류,마늘쫑무침,30,39.56,8.52,0.82,0.25,4.56,415.03,0.28,0.05,0
246,생채/무침류,무말랭이무침,30,40.79,8.55,0.98,0.3,3.75,384.61,0.04,0.04,0
247,생채/무침류,도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0,0.03,0
248,생채/무침류,양장피,250,229.75,19.44,16.4,9.6,1.66,853.36,146.18,1.94,0.07
249,생채/무침류,탕평채,100,97,12.3,3.6,3.8,0.4,260.4,47.24,0.7,0
250,생채/무침류,파래무침,30,34.51,5.95,1.14,0.68,2.6,244.01,0,0.14,0.01
251,생채/무침류,홍어회무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0
252,생채/무침류,쥐치채,20,55.92,10.89,2.75,0.15,4.55,296.34,8.57,0.19,0.01
253,김치류,갓김치,50,29.18,4.12,1.78,0.62,0.98,448.99,1.45,0.06,0
254,김치류,고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0
255,김치류,깍두기,50,18.33,3.34,0.83,0.18,1.39,323.47,0.8,0.02,0
256,김치류,나박김치,100,13.72,1.64,0.61,0.52,0.1,498.44,0.43,0.02,0
257,김치류,배추김치,50,19.13,2.9,1.23,0.29,0.79,312.08,1.13,0.06,0
258,김치류,백김치,50,21.22,4.2,0.53,0.26,0.12,249.07,0.01,0.01,0
259,김치류,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0
260,김치류,열무김치,50,16.77,2.43,1.12,0.28,0.58,310.35,1.81,0.05,0
261,김치류,오이소박이,50,17.38,2.45,0.85,0.47,0.14,266,0.88,0.04,0
262,김치류,총각김치,50,18.63,2.82,1.16,0.3,0.79,337.76,0.9,0.06,0
263,김치류,파김치,50,29.54,4.54,1.49,0.6,1.13,408.05,2.17,0.07,0
264,젓갈류,간장게장,250,302.16,12.84,37.69,11.12,5.9,3220.82,378.78,2.63,0.23
265,젓갈류,양념게장,200,279.63,42.05,23.92,1.75,17.04,1775.08,135.41,0.61,0.02
266,장아찌/절임류,고추장아찌,30,21.63,3.95,0.77,0.31,2.42,773.52,0.09,0.03,0
267,장아찌/절임류,"깻잎장아찌, 곰취장아찌, 콩잎장아찌",30,35.32,6.88,1.03,0.41,2.88,546.72,0.44,0.04,0
268,장아찌/절임류,마늘장아찌,30,16.84,2.96,0.9,0.15,1.28,487.97,0.02,0.01,0
269,장아찌/절임류,매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0,0.02,0
270,장아찌/절임류,"무장아찌, 무초절임",30,23.92,5.03,0.44,0.23,2.88,879.81,0.04,0.01,0
271,음료 및 차류,수정과,150,133.5,20.4,0.6,5.4,20.7,9.72,0,0,0.15
272,음료 및 차류,식혜,150,130.5,24.3,2.25,2.7,17.1,3.38,0,0,0
273,"곡류, 서류 제품","떡, 가래떡",100,208.2,47.49,3.81,0.33,0,256.96,0,0.17,0
274,"곡류, 서류 제품","떡,경단(깨)  ",100,319,74.2,4.4,0.5,26.6,180,0,0.5,0
275,"곡류, 서류 제품","떡,경단(콩)  ",100,314,74,3.5,0.5,20.6,225.83,0,0.2,0
276,"곡류, 서류 제품","떡, 꿀떡",100,217.8,48.86,3.82,0.79,2.6,250.9,0.43,0.24,0
277,"곡류, 서류 제품","떡, 무지개떡",100,228.97,53.01,3.53,0.31,8.98,276.82,0,0.16,0
278,"곡류, 서류 제품","떡, 백설기",100,228.27,52.51,3.64,0.41,7.19,288.6,0,0.14,0
279,"곡류, 서류 제품","떡, 송편(깨) ",100,224,45,4.9,2.7,1.1,231.82,0,0.5,0
280,"곡류, 서류 제품","떡, 송편(콩) ",100,194,41.7,5.2,0.7,1.3,233.5,0,0.2,0
281,"곡류, 서류 제품","떡, 시루떡",100,217.48,47.54,5.47,0.61,3.22,277.91,0,0.24,0
282,"곡류, 서류 제품","떡, 녹두시루떡",100,246,48.1,7.7,2.5,4,263.66,0,0.5,0
283,"곡류, 서류 제품","떡, 약식",100,244.38,52.33,3.71,2.24,9.67,289.33,0,0.55,0.04
284,"곡류, 서류 제품","떡, 인절미",100,220.95,45.39,5.65,1.86,1.93,341.37,0,0.56,0
285,"곡류, 서류 제품","떡, 절편, 감자떡",100,192.89,43.94,3.64,0.28,0.07,265.87,0.03,0.19,0
286,"곡류, 서류 제품","떡, 증편",100,192.73,44.83,2.66,0.3,6.6,264.17,0,0.16,0
287,"곡류, 서류 제품","떡, 찹쌀떡(팥속)",100,276.87,65.61,3.26,0.15,17.54,225.61,0,0.15,0
288,"곡류, 서류 제품","떡, 모듬찰떡",100,222.91,47.38,5.71,1.17,4.61,237.09,0,0.27,0
289,"곡류, 서류 제품","떡,기피편    ",100,220,49,5.4,0.2,2.1,281.06,0,0.1,0
290,"곡류, 서류 제품","떡, 메밀전병 ",100,168,21.6,6.2,6.3,0.6,345.8,8.05,1.2,0
291,"곡류, 서류 제품","떡, 수수부꾸미",100,248,42.1,5.7,6.3,0.2,261,0,1,0
292,"곡류, 서류 제품","떡, 수수팥떡 ",100,204,43,6.7,0.6,2.8,241.93,0,0.2,0
293,"곡류, 서류 제품","떡, 쑥떡     ",100,249,57.9,3.4,0.4,10.7,254.32,0,0.2,0
294,수조어육류,육회,150,229.91,14.1,22.38,9.33,1.52,447.81,79.09,2.91,0.17
295,수조어육류,대구포,100,141,2.3,32,0.4,0,3875.95,107.15,0.2,0
296,수조어육류,북어포       ,20,66.4,0.32,15.42,0.38,0.22,128.99,85.02,0.14,0
297,밥류,감자 주먹 밥,215,239.38,41.9,8.97,5.61,N/A,66.99,N/A,N/A,N/A
298,밥류,김치 고구마 밥,206,247.84,54.01,3.79,2.51,N/A,233.03,N/A,N/A,N/A
299,밥류,김치쌈밥,169,205.15,39.48,7.55,4.11,N/A,553.19,N/A,N/A,N/A
300,밥류,녹차약밥,50,176.44,35.13,3.6,2.81,N/A,2.93,N/A,N/A,N/A
301,밥류,두부 채소 볶음밥,281.4,321.87,60.39,13.65,6.58,N/A,213.08,N/A,N/A,N/A
302,밥류,레몬이 들어간 새우 케밥,200,215.4,35.02,15.16,2.86,N/A,167.56,N/A,N/A,N/A
303,밥류,밥 샌드위치,220,322.17,50.67,14.87,8.05,N/A,476.04,N/A,N/A,N/A
304,밥류,밥스틱,105,219.22,32.63,6.06,7.62,N/A,276.7,N/A,N/A,N/A
305,밥류,버섯 참치 무른 밥,150,145.12,23.38,5.31,3.04,N/A,1.34,N/A,N/A,N/A
306,밥류,새싹 비빔밥,251.1,264.63,50.55,8.74,5.35,N/A,317.74,N/A,N/A,N/A
307,밥류,쇠고기 말이 쌈밥,150,203.72,27.49,11.24,6.09,N/A,353.56,N/A,N/A,N/A
308,밥류,쌀밥,200,272,66.4,6,0.2,N/A,6,N/A,N/A,N/A
309,밥류,쌈밥,316.51,315.05,57.6,13.23,3.64,N/A,557.82,N/A,N/A,N/A
310,밥류,영양밥,174.1,321.6,63.65,6.3,5.07,N/A,101.76,N/A,N/A,N/A
311,밥류,향향볶음밥,110,104.03,18.88,5.68,1.24,N/A,9.99,N/A,N/A,N/A
312,빵 및 과자류,감자 연어 팬 케이크,114,144.1,13.61,9.95,5.93,N/A,49.1,N/A,N/A,N/A
313,빵 및 과자류,감자 팬케익,588.2,395.68,78.35,13.53,4.59,N/A,320.04,N/A,N/A,N/A
314,빵 및 과자류,감자 피자,99,132.34,16.87,6.16,4.85,N/A,266.11,N/A,N/A,N/A
315,빵 및 과자류,건강마늘꿀환,77,167.03,29.43,4.76,4.88,N/A,13.4,N/A,N/A,N/A
316,빵 및 과자류,고등어 강정,65,154.59,10.1,7.66,9.16,N/A,206.38,N/A,N/A,N/A
317,빵 및 과자류,과일 바바루아,200.5,254.57,28.25,6.58,12.09,N/A,90.77,N/A,N/A,N/A
318,빵 및 과자류,과일과 해산물을 곁들인 야채전병,200,154.34,26.58,9.36,1.78,N/A,225.18,N/A,N/A,N/A
319,빵 및 과자류,과일샐러드또띠아,200,277.06,58.02,5.42,3.58,N/A,84.36,N/A,N/A,N/A
320,빵 및 과자류,과일파이,100,182.06,38.71,2.8,2.46,N/A,28.45,N/A,N/A,N/A
321,빵 및 과자류,꽃게강정,170.9,261.89,22.95,17.76,11.19,N/A,471.21,N/A,N/A,N/A
322,빵 및 과자류,녹차 파나코타,145.1,310.57,43.75,4.89,13.89,N/A,62.47,N/A,N/A,N/A
323,빵 및 과자류,녹차스콘,60,184.59,31.24,4.39,4.79,N/A,131.3,N/A,N/A,N/A
324,빵 및 과자류,녹차크레페,120,178.56,26.76,8,4.19,N/A,102.5,N/A,N/A,N/A
325,빵 및 과자류,누룽지 과자,122,344.45,47.96,8.34,14.99,N/A,62.32,N/A,N/A,N/A
326,빵 및 과자류,누룽지피자,150,280.26,57.22,10.84,2.7,N/A,349.59,N/A,N/A,N/A
327,빵 및 과자류,다시마칩,40,61.13,10.22,1.61,2.43,N/A,139.27,N/A,N/A,N/A
328,빵 및 과자류,단호박 경단,69,162.87,30.57,3.59,3.33,N/A,86.97,N/A,N/A,N/A
329,빵 및 과자류,닭고기 롤,143.1,200.04,16.4,11.22,9.49,N/A,70.19,N/A,N/A,N/A
330,빵 및 과자류,두부깻잎과자,85,149.87,20.5,7.04,4.96,N/A,190.32,N/A,N/A,N/A
331,빵 및 과자류,두부샌드위치,195,190.4,22.25,8.31,9.67,N/A,7.51,N/A,N/A,N/A
332,빵 및 과자류,라이스페이퍼 새우 롤,105,141.26,22.91,7.15,2.47,N/A,86.16,N/A,N/A,N/A
333,빵 및 과자류,롤 피자,163,374.05,63.8,13.76,5.02,N/A,524.04,N/A,N/A,N/A
334,빵 및 과자류,멸치누룽지과자,100,191.35,29.45,11.55,3.96,N/A,177.2,N/A,N/A,N/A
335,빵 및 과자류,모닝빵,25,79,14.55,2.22,1,N/A,91.75,N/A,N/A,N/A
336,빵 및 과자류,미니 버거,79,123.41,8.29,10.18,5.5,N/A,225.74,N/A,N/A,N/A
337,빵 및 과자류,미니타르트,94.5,314.11,20.72,3.16,23.72,N/A,26.83,N/A,N/A,N/A
338,빵 및 과자류,"바닐라크림을 채운 체리,산딸기 페이스트리",169.5,305.12,38.37,4.63,14.39,N/A,88.02,N/A,N/A,N/A
339,빵 및 과자류,바질 고구마 옥수수빵,75,160.75,23.32,7.85,4.52,N/A,229.4,N/A,N/A,N/A
340,빵 및 과자류,블루베리 치즈무스케익,126.5,422.28,40.25,5.55,27.07,N/A,155.25,N/A,N/A,N/A
341,빵 및 과자류,비트와 호두 요리,156.1,242.91,38.81,3.32,9.21,N/A,70.84,N/A,N/A,N/A
342,빵 및 과자류,사과 타르트타틴,157.3,299.14,44.8,2.93,12.47,N/A,71.52,N/A,N/A,N/A
343,빵 및 과자류,사과와 양파를 곁들인 돼지등심 요리,138,293.83,5.95,17.83,21.02,N/A,35.82,N/A,N/A,N/A
344,빵 및 과자류,사과와 크림치즈를 곁들인 토스트,95,188.25,31.99,4.77,4.87,N/A,215.14,N/A,N/A,N/A
345,빵 및 과자류,수퍼 브리또,145,253.47,40.6,9.37,6.42,N/A,110.2,N/A,N/A,N/A
346,빵 및 과자류,식빵,40,113.2,20.44,3.32,2.08,N/A,26.4,N/A,N/A,N/A
347,빵 및 과자류,아보카도 달걀 샌드위치,65,152.41,20.23,5.74,5.06,N/A,271.69,N/A,N/A,N/A
348,빵 및 과자류,애플 스트루델,197.7,252.11,34.08,3.16,12.16,N/A,71.41,N/A,N/A,N/A
349,빵 및 과자류,야채빵,100,193.56,33.77,5.97,3.22,N/A,188.27,N/A,N/A,N/A
350,빵 및 과자류,야채칩,100,72.2,17.76,1.82,0.12,N/A,17,N/A,N/A,N/A
351,빵 및 과자류,"양송이버섯, 달걀크레페",215.6,350.07,48.34,16.82,9.59,N/A,92.06,N/A,N/A,N/A
